,InvoiceNo,CustomerID,InvoiceDate,Country,TotalAmount
191,536740,15827,12/2/2010 13:08,United Kingdom,92.75
192,536741,13117,12/2/2010 13:11,United Kingdom,202.12
193,536742,16916,12/2/2010 13:14,United Kingdom,198.08
194,536743,17964,12/2/2010 13:32,United Kingdom,261.76
195,536744,14466,12/2/2010 13:36,United Kingdom,379.75
196,536745,17235,12/2/2010 13:38,United Kingdom,341.9
197,536746,16510,12/2/2010 13:39,United Kingdom,248.1
198,536747,17802,12/2/2010 13:44,United Kingdom,100.2
199,536748,15107,12/2/2010 13:45,United Kingdom,116.0
200,536749,17976,12/2/2010 13:49,United Kingdom,353.19
201,536750,17850,12/2/2010 14:04,United Kingdom,434.8
202,536751,17850,12/2/2010 14:05,United Kingdom,22.200000000000003
203,536752,17850,12/2/2010 14:06,United Kingdom,390.66
204,536753,17850,12/2/2010 14:07,United Kingdom,22.200000000000003
205,536754,14449,12/2/2010 14:09,United Kingdom,210.24
206,536755,,12/2/2010 14:14,United Kingdom,54.25
207,536756,,12/2/2010 14:23,United Kingdom,66.65
208,536759,16781,12/2/2010 14:26,United Kingdom,311.25
209,536761,13491,12/2/2010 14:30,United Kingdom,98.9
210,536762,16186,12/2/2010 14:40,United Kingdom,307.68
211,536763,17685,12/2/2010 14:42,United Kingdom,452.52
212,536764,,12/2/2010 14:42,United Kingdom,0.0
213,536769,17581,12/2/2010 14:47,United Kingdom,668.4
214,536771,17581,12/2/2010 14:49,United Kingdom,118.38
215,536777,15732,12/2/2010 15:00,United Kingdom,138.1
216,536778,13138,12/2/2010 15:03,United Kingdom,193.23
217,536779,15823,12/2/2010 15:08,United Kingdom,15.0
218,536780,,12/2/2010 15:09,United Kingdom,12.8
219,536781,17460,12/2/2010 15:14,United Kingdom,50.400000000000006
220,536782,17567,12/2/2010 15:18,United Kingdom,517.95
221,536783,15061,12/2/2010 15:19,United Kingdom,4076.48
222,536784,15061,12/2/2010 15:20,United Kingdom,2170.9
223,536785,15061,12/2/2010 15:22,United Kingdom,2730.96
224,536786,15061,12/2/2010 15:23,United Kingdom,324.0
225,536787,17850,12/2/2010 15:24,United Kingdom,192.46
226,536788,15061,12/2/2010 15:25,United Kingdom,75.0
227,536789,17850,12/2/2010 15:25,United Kingdom,22.200000000000003
228,536790,17850,12/2/2010 15:26,United Kingdom,532.01
229,536791,17850,12/2/2010 15:27,United Kingdom,44.400000000000006
230,536792,15061,12/2/2010 15:28,United Kingdom,30.0
231,536793,16203,12/2/2010 15:39,United Kingdom,170.7
232,536794,13767,12/2/2010 15:40,United Kingdom,322.8
233,536795,15640,12/2/2010 15:40,United Kingdom,333.72
234,536796,15574,12/2/2010 15:46,United Kingdom,375.65
235,536797,16770,12/2/2010 15:49,United Kingdom,130.8
236,536798,17838,12/2/2010 15:55,United Kingdom,717.1600000000001
237,536799,17228,12/2/2010 16:00,United Kingdom,183.3
238,536800,14829,12/2/2010 16:12,United Kingdom,236.97
239,536801,,12/2/2010 16:12,United Kingdom,252.3
240,536802,17412,12/2/2010 16:29,United Kingdom,197.3
241,536803,14911,12/2/2010 16:33,EIRE,22.5
242,536804,14031,12/2/2010 16:34,United Kingdom,1714.25
243,536805,14775,12/2/2010 16:38,United Kingdom,406.56
244,536806,12971,12/2/2010 16:42,United Kingdom,45.12
245,536808,17659,12/2/2010 16:46,United Kingdom,247.8
246,536809,15299,12/2/2010 16:48,United Kingdom,1003.2
247,536810,15299,12/2/2010 16:50,United Kingdom,303.96
248,536811,15299,12/2/2010 16:51,United Kingdom,527.85
249,536813,15646,12/2/2010 16:59,United Kingdom,189.8
250,536819,13402,12/2/2010 17:12,United Kingdom,308.28000000000003
251,536821,17757,12/2/2010 17:17,United Kingdom,143.45000000000002
252,536823,13011,12/2/2010 17:22,United Kingdom,50.550000000000004
253,536824,13798,12/2/2010 17:24,United Kingdom,408.0
254,536830,16754,12/2/2010 17:38,United Kingdom,2002.4
255,536831,16029,12/2/2010 17:40,United Kingdom,569.4
256,536832,16634,12/2/2010 17:41,United Kingdom,164.8
257,536833,18239,12/2/2010 17:48,United Kingdom,438.1
258,536834,14576,12/2/2010 17:51,United Kingdom,35.400000000000006
259,536835,13145,12/2/2010 18:06,United Kingdom,295.0
260,536836,18168,12/2/2010 18:08,United Kingdom,263.3
261,536837,14395,12/2/2010 18:15,United Kingdom,308.68
262,536838,14865,12/2/2010 18:23,United Kingdom,37.2
263,536839,15093,12/2/2010 18:25,United Kingdom,623.73
264,536840,12738,12/2/2010 18:27,Germany,155.35
265,536841,16150,12/2/2010 18:27,United Kingdom,393.42
266,536842,17552,12/2/2010 18:45,United Kingdom,263.62
267,536843,17552,12/2/2010 18:46,United Kingdom,34.9
268,536844,14236,12/2/2010 18:49,United Kingdom,189.3
269,536845,17961,12/2/2010 19:18,United Kingdom,127.55
270,536846,14573,12/2/2010 19:59,United Kingdom,413.1
271,536847,17135,12/3/2010 9:31,United Kingdom,215.57999999999998
272,536848,13408,12/3/2010 9:39,United Kingdom,534.0
273,536849,17396,12/3/2010 9:45,United Kingdom,397.5
274,536851,12967,12/3/2010 9:49,United Kingdom,1368.4
275,536852,12686,12/3/2010 9:51,France,89.14
276,536856,13370,12/3/2010 10:26,United Kingdom,754.87
277,536857,16883,12/3/2010 10:33,United Kingdom,128.03
278,536858,13520,12/3/2010 10:36,Switzerland,303.4
279,536859,12841,12/3/2010 10:43,United Kingdom,294.25
280,536860,16905,12/3/2010 10:43,United Kingdom,254.39999999999998
281,536861,12427,12/3/2010 10:44,Germany,303.5
282,536862,,12/3/2010 11:13,United Kingdom,1334.13
283,536863,17967,12/3/2010 11:19,United Kingdom,123.07
284,536864,,12/3/2010 11:27,United Kingdom,636.6800000000001
285,536865,,12/3/2010 11:28,United Kingdom,2396.96
286,536866,,12/3/2010 11:28,United Kingdom,8.47
287,536874,16891,12/3/2010 11:35,United Kingdom,232.26
288,536876,,12/3/2010 11:36,United Kingdom,7257.08
289,536883,,12/3/2010 11:41,United Kingdom,5.46
290,536884,14589,12/3/2010 11:42,United Kingdom,39.75
291,536885,,12/3/2010 11:42,EIRE,549.0
292,536890,14156,12/3/2010 11:48,EIRE,322.2
293,536920,,12/3/2010 12:01,United Kingdom,69.3
294,536938,14680,12/3/2010 12:05,United Kingdom,1680.88
295,536941,,12/3/2010 12:08,United Kingdom,0.0
296,536942,,12/3/2010 12:08,United Kingdom,0.0
297,536943,17884,12/3/2010 12:11,United Kingdom,187.51
298,536944,12557,12/3/2010 12:20,Spain,620.0
299,536945,14083,12/3/2010 12:24,United Kingdom,309.54
300,536946,13013,12/3/2010 12:28,United Kingdom,841.94
301,536947,13013,12/3/2010 12:29,United Kingdom,686.4
302,536954,17809,12/3/2010 12:41,United Kingdom,425.0
303,536956,14210,12/3/2010 12:43,United Kingdom,304.95000000000005
304,536957,17809,12/3/2010 12:43,United Kingdom,791.7
305,536960,16477,12/3/2010 12:48,United Kingdom,225.65
306,536967,12600,12/3/2010 12:57,Germany,76.5
307,536968,16013,12/3/2010 13:09,United Kingdom,534.0
308,536969,16013,12/3/2010 13:10,United Kingdom,528.0
309,536970,17949,12/3/2010 13:12,United Kingdom,1314.0
310,536971,12779,12/3/2010 13:40,Poland,248.16
311,536972,16926,12/3/2010 13:42,United Kingdom,230.25
312,536973,17787,12/3/2010 13:43,United Kingdom,736.28
313,536974,12682,12/3/2010 13:59,France,336.24
314,536975,14911,12/3/2010 14:04,EIRE,1705.65
315,536976,14723,12/3/2010 14:18,United Kingdom,149.8
316,536977,17954,12/3/2010 14:18,United Kingdom,108.78
317,536980,17819,12/3/2010 14:26,United Kingdom,591.47
318,536981,14723,12/3/2010 14:26,United Kingdom,101.14
319,536982,,12/3/2010 14:27,United Kingdom,10661.69
320,536983,12712,12/3/2010 14:30,Germany,175.53
321,536984,17841,12/3/2010 14:35,United Kingdom,339.54
322,536985,15373,12/3/2010 14:40,United Kingdom,334.3
323,536986,16140,12/3/2010 14:40,United Kingdom,124.14
324,536987,17198,12/3/2010 14:54,United Kingdom,272.01
325,536988,17238,12/3/2010 15:05,United Kingdom,254.39000000000001
326,536989,17238,12/3/2010 15:10,United Kingdom,115.7
327,536990,12793,12/3/2010 15:14,Portugal,131.8
328,536991,,12/3/2010 15:16,United Kingdom,26.4
329,536992,15769,12/3/2010 15:16,United Kingdom,91.8
330,536993,14396,12/3/2010 15:19,United Kingdom,110.35000000000001
331,536994,14898,12/3/2010 15:25,United Kingdom,98.5
332,536996,,12/3/2010 15:30,United Kingdom,0.0
333,536997,,12/3/2010 15:30,United Kingdom,0.0
334,536998,,12/3/2010 15:30,United Kingdom,0.0
335,537000,,12/3/2010 15:32,United Kingdom,0.0
336,537001,,12/3/2010 15:33,United Kingdom,0.0
337,537003,,12/3/2010 15:33,United Kingdom,0.0
338,537004,,12/3/2010 15:34,United Kingdom,0.0
339,537005,,12/3/2010 15:35,United Kingdom,0.0
340,537006,,12/3/2010 15:36,United Kingdom,0.0
341,537007,,12/3/2010 15:36,United Kingdom,0.0
342,537008,,12/3/2010 15:37,United Kingdom,0.0
343,537009,,12/3/2010 15:38,United Kingdom,0.0
344,537010,,12/3/2010 15:38,United Kingdom,0.0
345,537011,,12/3/2010 15:38,United Kingdom,0.0
346,537012,,12/3/2010 15:39,United Kingdom,0.0
347,537013,,12/3/2010 15:40,United Kingdom,0.0
348,537014,,12/3/2010 15:40,United Kingdom,0.0
349,537015,,12/3/2010 15:41,United Kingdom,0.0
350,537016,,12/3/2010 15:41,United Kingdom,0.0
351,537017,,12/3/2010 15:41,United Kingdom,0.0
352,537018,,12/3/2010 15:42,United Kingdom,0.0
353,537019,,12/3/2010 15:43,United Kingdom,0.0
354,537020,,12/3/2010 15:43,United Kingdom,0.0
355,537021,,12/3/2010 15:43,United Kingdom,0.0
356,537022,12725,12/3/2010 15:45,Italy,427.8
357,537023,16725,12/3/2010 16:02,United Kingdom,122.15
358,537025,,12/3/2010 16:21,United Kingdom,76.83
359,537026,12395,12/3/2010 16:35,Belgium,346.1
360,537027,,12/3/2010 16:36,United Kingdom,0.0
361,537028,,12/3/2010 16:36,United Kingdom,0.0
362,537029,,12/3/2010 16:37,United Kingdom,0.0
363,537030,16455,12/3/2010 16:44,United Kingdom,246.3
364,537031,16455,12/3/2010 16:45,United Kingdom,135.0
365,537032,,12/3/2010 16:50,United Kingdom,0.0
366,537034,13081,12/3/2010 17:20,United Kingdom,2355.1800000000003
367,537035,13081,12/3/2010 17:21,United Kingdom,11.6
368,537036,15545,12/3/2010 17:28,United Kingdom,135.32999999999998
369,537037,17243,12/5/2010 10:03,United Kingdom,256.90000000000003
370,537038,15465,12/5/2010 10:12,United Kingdom,535.75
371,537040,13089,12/5/2010 10:27,United Kingdom,734.3999999999999
372,537041,16033,12/5/2010 10:36,United Kingdom,155.64000000000001
373,537042,13838,12/5/2010 10:45,United Kingdom,238.11
374,537044,18055,12/5/2010 10:52,United Kingdom,431.45
375,537045,15038,12/5/2010 10:54,United Kingdom,126.42999999999999
376,537046,18109,12/5/2010 10:58,United Kingdom,277.45
377,537047,13069,12/5/2010 11:02,United Kingdom,326.6
378,537048,13069,12/5/2010 11:03,United Kingdom,5.9
379,537049,16241,12/5/2010 11:04,United Kingdom,277.65000000000003
380,537050,14800,12/5/2010 11:10,United Kingdom,555.84
381,537051,15708,12/5/2010 11:12,United Kingdom,350.68
382,537052,16839,12/5/2010 11:15,United Kingdom,552.24
383,537053,16168,12/5/2010 11:38,United Kingdom,275.8
384,537054,16931,12/5/2010 11:40,United Kingdom,152.05
385,537055,16814,12/5/2010 11:45,United Kingdom,273.29
386,537057,15351,12/5/2010 11:49,United Kingdom,274.67
387,537058,13269,12/5/2010 11:51,United Kingdom,351.43
388,537059,14813,12/5/2010 11:54,United Kingdom,127.98
389,537065,12567,12/5/2010 11:57,France,1526.92
390,537067,14813,12/5/2010 11:57,United Kingdom,27.45
391,537077,17062,12/5/2010 11:59,United Kingdom,179.64000000000001
392,537081,15332,12/5/2010 12:00,Lithuania,1145.06
393,537086,15332,12/5/2010 12:01,Lithuania,438.0
394,537090,15332,12/5/2010 12:02,Lithuania,15.0
395,537111,14810,12/5/2010 12:08,United Kingdom,180.44
396,537117,16353,12/5/2010 12:09,United Kingdom,204.0
397,537126,18118,12/5/2010 12:13,United Kingdom,475.86
398,537127,13831,12/5/2010 12:13,United Kingdom,408.0
399,537128,12841,12/5/2010 12:15,United Kingdom,211.74
400,537129,13506,12/5/2010 12:15,United Kingdom,301.12
401,537130,17796,12/5/2010 12:23,United Kingdom,114.65
402,537131,15716,12/5/2010 12:26,United Kingdom,547.1
403,537133,18156,12/5/2010 12:29,United Kingdom,206.23000000000002
404,537134,16983,12/5/2010 12:34,United Kingdom,163.49
405,537135,17059,12/5/2010 12:35,United Kingdom,722.36
406,537136,12748,12/5/2010 12:42,United Kingdom,273.76
407,537137,16327,12/5/2010 12:43,United Kingdom,535.6
408,537138,17211,12/5/2010 12:44,United Kingdom,273.3
409,537139,17026,12/5/2010 12:47,United Kingdom,33.15
410,537140,12748,12/5/2010 12:53,United Kingdom,70.42
411,537141,15570,12/5/2010 12:57,United Kingdom,517.65
412,537142,12748,12/5/2010 12:57,United Kingdom,41.45
413,537144,15880,12/5/2010 13:00,United Kingdom,343.28000000000003
414,537153,16718,12/5/2010 13:03,United Kingdom,623.75
415,537154,15808,12/5/2010 13:05,United Kingdom,1021.45
416,537155,12748,12/5/2010 13:05,United Kingdom,75.64
417,537156,17858,12/5/2010 13:08,United Kingdom,251.25
418,537158,16393,12/5/2010 13:10,United Kingdom,184.8
419,537159,14527,12/5/2010 13:17,United Kingdom,292.95
420,537160,14161,12/5/2010 13:18,United Kingdom,283.15
421,537163,17863,12/5/2010 13:21,United Kingdom,384.71999999999997
422,537176,16411,12/5/2010 13:26,United Kingdom,131.5
423,537179,13767,12/5/2010 13:29,United Kingdom,806.28
424,537192,16402,12/5/2010 13:42,United Kingdom,211.8
425,537193,15023,12/5/2010 13:49,United Kingdom,460.6
426,537194,17402,12/5/2010 13:53,United Kingdom,271.2
427,537195,15311,12/5/2010 13:55,United Kingdom,650.64
428,537196,15426,12/5/2010 13:55,United Kingdom,411.42
429,537197,12647,12/5/2010 14:02,Germany,286.5
430,537198,12647,12/5/2010 14:03,Germany,85.5
431,537199,15894,12/5/2010 14:06,United Kingdom,156.74
432,537200,15867,12/5/2010 14:17,United Kingdom,112.9
433,537201,12472,12/5/2010 14:19,Germany,1631.3
434,537202,14506,12/5/2010 14:25,United Kingdom,269.7
435,537204,15555,12/5/2010 14:45,United Kingdom,198.43
436,537205,13034,12/5/2010 14:52,United Kingdom,165.86
437,537206,15235,12/5/2010 15:02,United Kingdom,85.55000000000001
438,537207,17402,12/5/2010 15:06,United Kingdom,188.77
439,537208,15889,12/5/2010 15:12,United Kingdom,297.92
440,537209,14606,12/5/2010 15:12,United Kingdom,192.68
441,537210,15953,12/5/2010 15:15,United Kingdom,209.84
442,537211,16143,12/5/2010 15:18,United Kingdom,355.75
443,537212,12720,12/5/2010 15:21,Germany,473.39
444,537213,12748,12/5/2010 15:26,United Kingdom,8.65
445,537214,16422,12/5/2010 15:35,United Kingdom,1668.2
446,537215,12747,12/5/2010 15:38,United Kingdom,358.55999999999995
447,537216,15502,12/5/2010 15:40,United Kingdom,569.5
448,537217,15502,12/5/2010 15:40,United Kingdom,167.2
449,537218,12763,12/5/2010 15:46,Japan,320.08
450,537219,14081,12/5/2010 15:47,United Kingdom,423.52
451,537220,,12/5/2010 15:49,United Kingdom,3.35
452,537221,17965,12/5/2010 15:54,United Kingdom,37.35
453,537222,14404,12/5/2010 16:00,United Kingdom,133.48
454,537223,13579,12/5/2010 16:10,United Kingdom,164.70000000000002
455,537224,13174,12/5/2010 16:24,United Kingdom,1415.97
456,537225,12748,12/5/2010 16:41,United Kingdom,496.48
457,537226,15987,12/6/2010 8:34,United Kingdom,113.48
458,537227,17677,12/6/2010 8:42,United Kingdom,922.4000000000001
459,537228,17677,12/6/2010 8:43,United Kingdom,25.200000000000003
